State,County,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
TX,Travis,Yes,3603,37.8,1360,14.7,525,6.3,112,1.3,47,0.7,25
TX,Tyler,Yes,2479,20.9,518,4,91,1.6,16,4,100,5.4,135
TX,Uvalde,No,2968,100,2968,17.2,509,6.6,74,26.4,784,18.6,552
TX,Val Verde,No,898,89.1,801,15.5,133,4.1,16,16.4,148,20.8,187
TX,Van Zandt,Yes,3412,28.8,983,4.9,157,3,37,7.8,265,5.2,178
TX,Victoria,Yes,5506,83.4,4594,17.6,961,8.4,141,29.9,1644,6.6,363
TX,Waller,Yes,2763,100,2763,46.2,12,50,10,0.7,18,0.1,4
TX,Webb,Yes,4246,100,4246,26.1,1108,6.7,87,29.7,1261,13.3,565
TX,Wichita,Yes,1603,55.9,896,20,294,13.2,78,12.6,202,5.8,93
TX,Willacy,No,2858,26,742,9.5,270,2.3,19,5.2,148,5.2,148
TX,Winkler,Yes,3498,34.4,1204,6,202,1.7,22,10.3,360,4.7,164
TX,Yoakum,Yes,5275,37.2,1965,5.8,305,2.6,47,11.4,603,4.2,224
TX,Young,No,4611,11.3,522,1.7,76,0.2,5,2.8,131,2.3,108
TX,Zapata,No,1037,94,975,46.9,465,12.6,41,29.9,310,11.2,116
TX,Zavala,No,1422,98.8,1405,43.5,619,10,41,34.3,487,8.2,117
UT,Cache,Yes,2404,21.2,509,1.7,39,0,0,7.4,177,2.7,65
UT,Duchesne,No,3186,32.4,1032,5.1,152,1,10,9.3,297,5.3,167
UT,Emery,No,986,100,986,13.5,133,6.8,23,33.9,334,12,118
UT,Grand,Yes,4355,33.8,1470,5.1,217,2.7,48,10.1,442,4.6,200
UT,Millard,No,4439,22.4,995,3.4,147,0.8,12,6.7,298,4.6,204
UT,Piute,No,1435,100,1435,16.2,233,3.7,19,30.7,441,17.1,245
UT,Salt Lake,Yes,8898,61.3,5456,9.8,866,5.3,127,23.2,2061,2.6,230
UT,Sanpete,No,3188,35.9,1143,4.6,147,2,19,13.9,444,3.7,119
UT,Uintah,No,4149,18.6,770,5.8,239,1.4,17,7.3,303,1.1,47
UT,Utah,Yes,4736,35.5,1682,5.1,239,1.6,24,10.9,515,3.4,163
UT,Wasatch,No,33,100,33,15.6,5,0,0,33.3,11,3,1
UT,Weber,Yes,7196,77.1,5545,7.7,539,4.5,106,25.4,1829,6,435
VT,Bennington,Yes,5318,64.9,3454,13.3,679,19,455,13.8,736,11.9,633
VT,Chittenden,Yes,4392,51.4,2256,13.7,556,6.1,112,7.4,323,4.9,215
VA,Albemarle,Yes,738,35.2,260,16,106,1.9,8,4.2,31,0.5,4
VA,Amherst,Yes,1105,100,1105,24,95,14.3,27,9,99,12.7,140
VA,Bath,No,5048,58.6,2960,4.3,215,3.5,72,12.9,649,9.4,473
VA,Bland,No,4022,44,1770,7.3,251,3.5,49,9.2,370,6.6,266
VA,Botetourt,No,3415,30.5,1043,2.4,82,1.5,21,6.2,211,5.9,200
